,Unnamed: 0,Message,Narrative,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
243,,janet shot beauti photo truth document breast cancer experi diagnos breast cancer last januari imagin huge shock felt well never thought would start treatment straight away first chemotherapi session develop problem wound lymph node surgeri mean continu cours chemo treatment unfortun treatment enough kickstart side effect chemo lost much hair cours sever week use cold cap hope case draw process everi time wash brush hair came next month continu target therapi drug surgeri time hair start grow back begin septemb restart chemo remain session bother cold cap work lost hair quit quick hate look without hair dont feel like particular eyebrow gone wig most wear hat scarv never go head uncov final chemotherapi week ago hair start regrow slowli want document chapter life want proper photo taken good light like see way want share everyon passion photographi decid tri newli built studio idea imag hint look research would light technic difficult exercis set focus light pleas result posit comment peopl pictur realli boost confid look although still readi go nake head see janet photographi facebook account https www facebook com janetmilesimag mani peopl lose either hair result treatment breast cancer find breast cancer hair loss websit http bit ly rx fw,1,,,,
244,,juli refer mammogram told need ultrasound hour initi arriv hospit told breast cancer follow day consult rang say would like routin bone scan fast forward week confirm cancer spread rib secondari breast cancer physic felt well earli menopaus emot happen treatment work first diagnos head neck consult said treatment settl almost forget get life normal pretti much victoria,1,,,,
245,,put mask makeup paint eyebrow put wig everyon say look amaz use think saw hour ago wouldnt say look healthi start treatment end look like youv gone mill hard get use look mirror see bodi chang week week hear word cancer everyth feel scari friend recent diagnos piec advic ive given afraid treatment difficult mani support option help honest your feel around make easier breast cancer feel like put paus life life wont hold forev there much wait beyond treatment toria find person stori like toria plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
246,,although need chemotherapi past month realli taken toll physic mental day even energi eat carolin struggl sever fatigu treatment find stori plus tip look physic wellb treatment free becca app http bit ly ou tbd,1,,,,
247,,lumpectomi remov tumour surround tissu sentinel lymph node remov april follow week went back follow appoint told need surgeri thank didnt need chemo need radiotherapi tamoxifen year found difficult sit still rest oper usual activ person week treatment fatigu hit strangest thing ever experienc day fine next like hit ton brick first difficult adapt mindset alway person everyth instead ask help mum think sometim easier realis import allow peopl help weak ask help hard famili friend treatment know help let children fab throughout honest care help around hous daughter took role nurs cute bring medicin pain relief need alway resili person sinc diagnosi found thing challeng time remind ive huge tough chang attitud made reassess want life diagnosi prepar career reflect prioriti chang decid put hold moment focus famili full recoveri aisl,1,,,,
248,,fear confirm tumour spread lymph node new year go mark start breast cancer treatment simon drove home stun way expect real could knew tell children simon medic retir kidney transplant fail mode dialysi live simon abl chang drastic alway honest children simon health look book help us explain chang live unsuccess use knowledg experi answer difficult question daddi arm buzz daddi tube come tummi daddi carri anymor time around breast care nurs given us book children mummi lump publish breast cancer care help understand breast cancer ahead fair explain thing children way learn come term situat face knew experi simon ill would less fear procedur knew happen got home sat told diagnosi explain cancer catch none us caus told doctor said could treat medicin surgeri x ray gave big hug answer question anita anita share experi tip tell children breast cancer us find stori plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
249,,cancer unexpect lodger turn caus chao final get rid realis kept key jenni diagnos discuss languag use describ breast cancer make feel uncomfort,1,,,,
250,,obvious tear bit anger jealousi other carri normal live whole life becam treatment trip hospit get day win today melani breast cancer diagnosi melani start wonder ever possibl win breast cancer,1,,,,
251,,found lump right breast novemb mammogram sever ultrasound told cyst drain sent way unfortun doctor spot tumour grow behind doubl size unabl go back treatment due covid pandem biopsi given diagnosi th wait hard told grade invas ductal carcinoma grown cm novemb cm famili utter devast upon hear news life went technicolour black white less hour heidi diagnos breast cancer recent finish chemotherapi share difficult emot side effect came treatment,1,,,,
252,,treatment finish expect feel like new person struggl ongo physic side effect cord surgeri unabl pilat due muscl tighten chest upset went fit unfit felt frustrat time take get better physic physiotherapist suggest join dragon boat race team call wave walker peopl experi cancer enjoy learn particip someth new stop usual activ part team embarrass cancer import peopl wave walker socialis support member come rang background part london paddl fun get fit recoveri breast cancer immedi slowli get everyon tri new thing like dragon boat race realli help treatment find person stori like jacki plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign becca utm content becca,1,,,,
253,,denis breast cancer experi start back simpl letter tell need return hospit discuss result routin breast screen appoint chang life forev ive surpris find live post treatment hardest part anxieti breast cancer come back never far mind sinc given hope vital research breast cancer fund life chang support breast cancer care women diagnos breast cancer everi year uk help us support peopl like denis https bccare org uk lyrpnv,1,,,,
254,,although need chemotherapi past month taken toll physic mental day even energi eat find carolin blog manag fatigu plus hint tip life treatment free app becca https bccare org uk becca,1,,,,
255,,high risk patient day low immun system due treatment breast cancer time year mastectomi reconstruct lumpectomi chemotherapi radiotherapi recent diagnosi think back time diagnos breast cancer get virus feel fortun first diagnos breast cancer still fight ruth diagnos primari breast cancer time complet hospit treatment diagnos covid,1,,,,
256,,never expect hear breast cancer initi told lump breast probabl noth worri consult said biopsi show cancer hear anyth els said felt numb came anger upset frustrat boy imagin absolut worst fortun amaz support network famili friend well support breast care team wobbl difficult day peopl talk know listen support outsid closest find person stori like leann plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
257,,take minut life everi month check breast save endur https bit ly exdmju https breastcancernow org us news person stori breast cancer incur e stop live lifeutm sourc facebooko utm medium social utm campaign corpor utm content ghdlaura laura first diagnos breast cancer find lump breast travel year finish treatment primari breast cancer laura told cancer back time spread bone shes share stori togeth young women breast cancer around world remind peopl check sign breast cancer part ghds take control campaign,1,,,,
258,,learnt cancer chang person physic tire lot time plenti menopaus symptom emot longer level head person whose mood swing like yo yo find person stori like sara plus tip move forward breast cancer free becca app http bit ly ou tbd https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign becca utm content beccasundaypostfb,1,,,,
259,,biggest challeng deal fear cancer return usual fear start thought pop head got pain somewher new find helen blog manag fear recurr plus hint move forward treatment becca app https bccare org uk becca,1,,,,
260,,breast cancer work complet chang life path gave real purpos would like say big congratul kerri bank award british empir medal bem queen new year honour list servic breast cancer sinc kerri rais memori friend juli work tireless rais awar breast cancer host event ball sponsor walk take challeng dalai lama himalayan trek incred ambassador breast cancer thank kerri,1,,,,
261,,woke januari decid go year thought resolut made determin sure everyon keep rememb celebr night taken shower discov lump right breast felt breast found lump still began differ journey envisag lone journey would leav exhaust unwel face futur expect anyon diagnos cancer know thing happen quick whole process hard keep assimil week instead look new job resolut say tear goodby colleagu go treatment famili love support sympathet anxious hand space spare energi anxious begin understand mean journey truli understood least follow mastectomi start chemotherapi join group breast cancer care forum peopl women men due start chemotherapi march henc becam marvel marchi show sister video said write blog lone journey said think kid could see think alon husband children mother friend could lone get wrong lot support new virtual friend forum share fear anxieti famili anxieti laugh thing famili feel appropri laugh talk possibl pull connect middl night love one asleep lay wide awak georgi find person stori like georgi plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
262,,youv probabl someon say treatment finish your better cancer bad cold treatment caus side effect last mani year read alex blog manag fatigu plus tip move forward treatment free app becca https bccare org uk becca,1,,,,
263,,longer see lop side breast eye go tattoo see love flower make feel good read liz person stori inspir hint tip life breast cancer free becca app https bccare org uk becca,1,,,,
264,,nurs addi talk live kayla first diagnos breast cancer import breast awar would like ask them,1,,,,
265,,diagnosi much bigger emot impact expect thought finish treatment would done dust intens cancer treatment much deeper impact realis stay quit time peopl talk defin cancer feel way part influenc feel life find person stori like isla plus tip move forward breast cancer free becca app http bit ly ou tbd https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign becca utm content beccasundaypostfb,1,,,,
266,,mum die age breast cancer somehow alway knew back mind would face breast cancer stage life juli small lump insist gp refer consult didnt think would anyth worri fast forward lumpectomi discov grade infiltr ductal carcinoma anoth surgeri follow week martial mastectomi wider excis remov lymph node follow session radiotherapi watch lorrain saw featur show breast cancer care affili began servic avail invalu appli model join catwalk join show committe want want spread word chariti use passion experi posit way sad show happen year want spread posit support reunight keep rais much money possibl tracey diagnos breast cancer year ago committe member show join forc pink ribbon ball committe breast cancer first virtual event reunight join us novemb chanc win prize see special perform hear uplift stori rais money vital work www breastcancernow org reunightutm sourc facebooko utm medium social utm campaign reunight utm content tracey https breastcancernow org get involv social eventsutm sourc facebooko utm medium social utm campaign reunight utm content tracey,1,,,,
267,,want turn bad situat good situat rais money tickl pink hilari shave head upcom oper rais asda tickl pink campaign new year fundrais way help rais vital fund breast cancer http bit ly ep wx https breastcancernow org search googl get involv fundrais,1,,,,
268,,way dealt diagnosi posit happen want know need next other might better close door lie bed day process news everyon reaction differ let anyon tell deal diagnosi know best find person stori like samantha plus tip move forward breast cancer free becca app http bit ly ou tbd https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign becca utm content beccasundaypostfb,1,,,,
269,,happi diagnosi day exact year ago told word never thought would hear cancer still way go recoveri tough oh tough worst year life done move know learnt much superwoman laura wrote letter exact year breast cancer diagnosi read full letter here,1,,,,
270,,petrifi stage catch covid sure whether continu treatment thought would rather take risk cancer come back leav children without mother aw time last year francesca diagnos breast cancer lost husband year struggl handl treatment pandem share famili help cope,1,,,,
271,,face choic reconstruct consult give fact pass breast care nurs fill detail give time process inform given struggl decid best serious ill year everyth els recent happen life question decis make abil fear make mistak worri time work requir care son recoveri time selfish could implant back normal quicker struggl scar could occur part bodi like breast torso question vaniti endless sara jane,1,,,,
272,,expect worst chemotherapi tough treatment rob thing made feel like woman period stop hair fell even eyelash eyebrow went high risk recurr recommend bilater mastectomi follow reconstruct difficult lose thing time thought go woman whos go want find person stori like leann plus tip move forward breast cancer free becca app http bit ly ou tbd https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign becca utm content beccasundaypostfb,1,,,,
273,,sinc januari ive take tamoxifen biggest issu hot flush sweat muscl cramp insomnia read helen tip manag menopaus symptom heat plus hint adjust life breast cancer free app https bccare org uk becca,1,,,,
274,,hair start grow back even peopl know well recognis straight away difficult moment happen remind find patricia stori plus hint tip find new normal treatment free becca app https bccare org uk becca,1,,,,
275,,mum diagnos tripl negat breast cancer late doctor found small lump year routin check initi breast cancer return time first breast lung brain massiv impact famili sibl young time fulli understand happen felt quit isol lone talk mum found alter brca gene put high risk breast cancer incred confus never heard expos cancer world month earlier idea cancer could hereditari mum heard brca understand affect parent later realis grandpa carrier encourag mum appli genet test novemb took test day th birthday februari receiv result mid april came back posit strang reliev felt grate found young age meant time discuss think option jess,1,,,,
276,,partner iain taken room consult told sorri breast cancer world fell apart seem real felt like talk somebodi els felt complet numb scare boy futur diagnos invas ductal carcinoma stage breast cancer spread lymph node absolut terrifi initi thought young son go tell news youngest year old surpris cope incred well day quit ill see tear worri,1,,,,
277,,isla diagnos breast cancer tokyo away husband children alreadi suspicion someth wrong doctor recommend biopsi biopsi result flew back home edinburgh cut trip short week diagnosi much bigger emot impact expect thought finish treatment would done dust intens cancer treatment much deeper impact realis stay quit time,1,,,,
278,,began wonder cancer last month go back sure know happen next,1,,,,
279,,woke saturday morn hair quarter inch long came downstair said ross wear wig anymor,1,,,,
280,,year diagnosi fran share thing help get breast cancer treatment manag hair loss took look mirror morn thought look aw smile back sudden look much nicer hide beneath pale red eye bald imag saw instant felt littl better smile lot find lost energi read walk would good increas energi level boost immun start walk everi day day feel like go would make take least step deal sad thought end everi day attempt sleep went everyth achiev wrote diari list far walk record step wrote felt way could go sleep posit frame mind sometim even feel littl bit proud find person stori like fran plus tip move forward breast cancer free becca app http bit ly ou tbd,1,,,,
281,,treatment finish thought id feel elat felt quit deflat way cancer life sudden treatment happen strang feel find lauren blog plus tip take care emot wellb treatment end becca app search becca app app store,1,,,,
282,,implant big decis fact make decis breast reconstruct easi everyon free boob job cosmet procedur attempt regain sort normalci traumat life chang event breast cancer fiona,1,,,,
283,,found lump left breast saw gp day hospit quick mammogram ultrasound biopsi week sad got diagnosi tripl negat breast cancer went lockdown vulner told isol shield thank husband abl isol hes fantast grate basic carer whole famili isol togeth march apart hospit appoint never went got shop deliveri asda friend home shop bring littl food parcel id like say massiv thank everyon asda support phenomen husband make realis hard time forti year old asda colleagu helen whos marri fellow asda colleagu childhood sweetheart rob year diagnos breast cancer last year treat love valentin day pick bunch asda tickl pink flower local asda give beauti gift love support us coppafeel rais vital fund world class research support affect breast cancer educ communiti colleagu custom supplier breast awar link https www asda com creat chang better better communiti tickl pink,1,,,,
284,,partner iain taken room consult told sorri breast cancer world fell apart seem real felt like talk somebodi els felt complet numb scare boy futur tri keep thing normal possibl carri school run kept activ could day abl get bed day felt well walk dog met friend lunch import keep sens normal boy famili friend dark day chemo got knew feel bad forev stay posit kept go lesley lesley diagnos breast cancer first thought children treatment tri hardest continu normal even struggl get bed find person stori like lesley plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
285,,thought id feel elat thought id jump around felt quit deflat way whole time cancer life sudden treatment happen strang feel find person stori like lauren plus hint tip adjust life treatment free becca app http bit ly ou tbd,1,,,,
286,,deal tamoxifen side effect beauti warm weather interest biggest issu hot flush sweat muscl cramp insomnia find helen blog manag menopaus symptom heat plus tip move forward breast cancer free becca app https bccare org uk becca,1,,,,
287,,finish treatment thought wow im back normal worri kick long process ive gone back forth doctor tamoxifen given menopaus symptom ive realli struggl find toria stori manag life treatment plus tip move forward free becca app https bccare org uk becca,1,,,,
288,,think honest truth life breast cancer treatment need focus mental physic accept new normal certain day pine long thick hair go shop pretti underwear without mastectomi pocket time constant awe bodi work incred hard rejuven nail never thought would return back eyelash disappear grow longer everi day entir bald bodi get hairier month sensit gum drip nose funni tast bud menopaus flush memori https breastcancernow org us news person stori ever feel normalutm sourc facebooko utm medium social utm campaign servic utm content franblog,1,,,,
289,,big parti girlfriend drank champagn hairdress cut hair quit surreal determin let get quit enjoy drama bald mind crew cut certain miss hair old ident hair start grow back even peopl know well recognis straight away difficult moment happen remind find person stori like patricia plus tip move forward breast cancer free becca app http bit ly ou tbd,1,,,,
290,,biggest challeng deal fear cancer return usual fear start thought pop head got pain somewher new find helen blog plus hint tip manag life treatment free becca app http bit ly ou tbd,1,,,,
291,,diagnos primari secondari breast cancer fell swoop never chanc absorb primari breast cancer let alon secondari breast cancer monopoli game goe felt told go straight jail pass go consult rachel marri mum diagnos secondari metastat breast cancer tell us experi live diseas impact life,1,,,,
292,,hour chemo due start got phone call say go ahead due pandem blow instead said would mastectomi first sure would rollercoast plan chang practic daili basi date week week month suggest cancel felt stuck limbo cancer still insid plan chang final mastectomi shock point discuss reconstruct option taken tabl mastectomi cancer gone grate reconstruct time lost confid know dress shape feel like go feel like control treatment plan concern backlog referr reconstruct big delay nadin like nadin breast cancer patient face mani month possibl year without reconstruct backlog caus pandem worsen pre exist delay call nhs bodi uk ensur women get surgeri need soon possibl,1,,,,
293,,begin avoid peopl place thing even telephon would rather text speak someon often opposit actor breast cancer ambassador amanda meal struggl anxieti disord ptsd breast cancer diagnosi explain import find right emot support you,1,,,,
294,,lose hair hardest thing soon children adapt new look photo captur endless uncondit love children son oakley show love mummi without hair debbi hard talk children cancer resourc help https breastcancernow org inform support face breast cancer talk children breast cancerutm sourc facebooko utm medium social utm campaign servic utm content talkingtochildren,1,,,,
295,,want show realiti chemotherapi alway get mention power share stori cheri document journey breast cancer diagnosi april last year final round chemotherapi octob,1,,,,
296,,feel guilti struggl even peopl look like struggl treatment struggl alon tri beat treatment avril struggl find right local support servic use background tech broaden choic everyon affect cancer,1,,,,
297,,peopl tell caus cancer interrog diet lifestyl stress level guilt mount side want find reason blame left look reason blame taken time get feel guilt allow ask peopl around help struggl side effect like fatigu hard feel like burden still get susan share manag feel guilt around diagnosi,1,,,,
298,,steph diagnos breast cancer age discov small pea size lump straightaway went see doctor felt fair certain would turn cyst mammogram ultrasound biopsi cancer cell discov steph lumpectomi radiotherapi receiv diagnosi steph turn breast cancer care support help us peopl like steph world cancer day get uniti band stand breast cancer care cancer research uk movemb foundat uk anthoni nolan feb adaytounit http worldcancerday co uk,1,,,,
299,,short video creat chronicl growth hair follow chemotherapi treatment breast cancer diagnosi lose hair profound experi taught afraid vulner hair start come treatment gave hope im hope clip might help other go treatment carol lose hair distress side effect treatment find cope hair loss https breastcancernow org inform support face breast cancer go treatment breast cancer side effect side effect chemotherapi breast cancer hair lossutm sourc facebooko utm medium social utm campaign servic utm content hairloss,1,,,,
300,,selfless brilliant daughter wife mother friend teacher say husband robin never slow live time speed everyon els make memori give best could around coupl week death melissa last brilliant idea bring peopl togeth covid meant school close melissa thought pupil youngest son class could collabor write stori part teacher would know kid work hard practis handwrit say liz close friend melissa think think kid teacher want someth bring togeth,1,,,,
301,,found small lump breast diagnos breast cancer fantast remov lump week journey like train cant get lymph node found posit chemo start januari tough drain energi leg didnt work struggl walk hundr meter realis reluct ride night need put hold chemo zap strength leg damag nerv leg hand ride usual bike go happen convert ebik chemo radiotherapi finish summer gradual built strength fit ride night told friend sponsor although would batteri assist would still challeng ride km overnight around london ride night great fun beat previous time hour awar discuss whether use ebik fair real cycl that reason want share stori bike ebik rais money amaz chariti challeng process person challeng differ everyon depend life journey what import get someth sian join women biggest femal cycl event uk ridethenight http bit ly tvcsw https breastcancernow org get involv sport adventur chariti bike ride women v cancer ride night londonutm sourc facebooko utm medium social utm campaign event utm content ridethenightsian,1,,,,
302,,nurs louis talk hannah experi around fertil young woman breast cancer,1,,,,
303,,like look mirror like undress front husband shower longer see lop side breast eye go tattoo see love flower make feel good read liz stori find hint tip move forward treatment becca free app https bccare org uk becca,1,,,,
304,,christma day daughter fourth birthday hair stare fall clump everi time put hand head squirrel away pocket fear spoil day famili thing make hair loss difficult go chemotherapi make cancer diagnosi visibl turn privat struggl public spectacl low point attend wonder younger women togeth weekend organis breast cancer inform support time need go revisit experi year later st januari plan shave head rais money support breast cancer challeng secondari breast cancer research ann,1,,,,
305,,diagnos didnt specif lump left breast swollen life ive alway breast awar mum die breast cancer young immedi went gp got referr actual misdiagnos month told mastiti wasnt kept go back kept get bigger bigger final broke tear given biopsi told breast cancer immedi reaction fear terrifi go die day follow diagnosi saw fertil doctor talk fertil preserv unfortun follow convers oncologist fertil specialist decid delay treatment round ivf freez embryo riski start chemotherapi day later anoth blow tri stay posit read lot stori peopl went children follow treatment follow last chemotherapi went back see specialist ran seri test told indic left infertil would never abl children devast dont realli know manag news cri lot counsel hard friend children year told couldnt children got news complic due tamoxifen end see gynaecologist london said test follow chemotherapi wouldnt valid soon treatment took time told actual chanc could children month later babi boy turn make heart swell make laugh everi day husband feel bless anikka find person stori like anikka plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
306,,explain symptom breath difficulti gp sent chest x ray subsequ show enlarg heart admit onto cardiac ward left ventricular heart failur told chemotherapi induc cardiotox felt world crumbl prepar anoth life chang diagnosi chemotherapi save life threaten treatment caus damag heart muscl becom weaker less effici cardiotox develop cancer treatment month year later rare side effect chemotherapi cure want help rais awar condit warn heart failur side effect word could hear chemo hair loss thought everi procedur came risk assum go happen find lot inform cardiotox diagnos went onto internet find blog articl much want share stori help person look articl condit luci finish activ treatment breast cancer luci told chemotherapi induc cardiotox explain manag rare condit share stori help other find person stori like luci plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
307,,ultrasound biopsi told lump found fibrocyst tissu benign gut instinct sit well lump grow day thank refer breast cancer specialist request anoth biopsi mammogram week later diagnos tripl negat breast cancer microscopi report mention tumour high grade invas ductal carcinoma shayna diagnos age tripl negat cancer share experi want young women awar warn sign,1,,,,
308,,lose hair felt like lose feminin ident jo struggl lose hair chemotherapi offer tip help cope hair loss,1,,,,
309,,treatment notic hospit dont understand differ ethnic slight differ need choos suitabl prosthet breast challeng main cater white skin tone result brown colour prosthesi need order ship anoth countri took month receiv prosthesi left wear white skin tone easili disguis darker skin left wonder hospit locat area cultur divers popul fall short cater vulner emot depend group especi someth simpl brown colour breast prosthesi rosemari rosemari found lump breast sister diagnos breast cancer becca app share support famili black women rise help accept diagnosi find person stori like rosemari plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
310,,emot relat feel overwhelm pressur deal cancer enough caus meltdown luci discuss manag difficult emot felt breast cancer diagnosi,1,,,,
311,,found lump left breast initi denial put lump normal breast chang midwif know breast chang often give advic support women check breast june sister diagnos breast cancer mammogram went appoint support even though back mind concern breast felt say anyth want make situat didnt tell anyon includ sister juli sister went holiday start treatment took opportun get check mammogram biopsi lump suspici area breast august eventu diagnos dcis invas breast cancer year old moment realis mortal cancer told mother rest famili sister return holiday told diagnosi devast couldnt believ kept lump secret long follow week abl support surgeri first remain strong went medic mode support emot time find person stori like rosemari plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
312,,end third final year univers readi take life rein begin journey qualifi adult appear bodi right breast precis decid otherwis primari diagnosi came shock point optimist led believ sizeabl hard mobil lump forefront right breast like benign condit age year scan second primari tumour found left breast found earli decid second mastectomi move life diagnos secondari breast cancer fear sudden realiti sad around way might come term diseas lifelong presenc truth certain liber told secondari breast cancer worst transpir feel good acut awar valu life day need truli see posit cancer taken breast fertil potenti precious time forev retain uniqu sens self could easili lost minefield breast cancer kati https breastcancernow org us news person stori ive diagnos breast cancer time im utm sourc facebooko utm medium social utm campaign servic utm content katieblog,1,,,,
313,,everyth hit finish treatment anticip huge relief almost feel like sit huge post explos crater think even start think common misconcept young mean bounc back case year ago fulli function student work weekend good social life leav room long risk panic attack jen diagnos breast cancer third year univers explain experi life chang sinc then,1,,,,
314,,wear prosthesi dress want easi life would love accept wonki open accept differ happier place live clair decid reconstruct mastectomi instead use platform artist celebr bodi listen rest clair stori podcast,1,,,,
315,,treatment finish petrifi noth focus lauren struggl anxieti fear cancer come back treatment end share experi mental health awar week let us know tip manag mental health breast cancer treatment,1,,,,
316,,fatigu felt like extrem wave tired wash regular interv rare wake feel refresh everyday task took longer normal sarah share top tip manag fatigu adapt felt treatment,1,,,,
317,,initi diagnos primari breast cancer age end mastectomi chemotherapi part drug trial monitor year discharg year later diagnos secondari left lung cancer identifi er receiv trastuzumab herceptin hormon therapi plus radiotherapi lung follow surgeri total live secondari metastat breast cancer year origin prognosi year maximum outliv long way joy diagnos secondari breast cancer share experi get diagnos import awar symptom secondari breast cancer,1,,,,
318,,move forward awkward phrase time march us whether appreci breast cancer diagnosi bring mani loss case loss breast loss head hair loss sens youth immort loss aspect self imag feminin loss control bodi destini like major loss griev half year diagnosi still much work progress day busi think threat recurr still hover learnt live deafen roar immin danger becom distant hum cours trigger turn volum time time way like cancer part stori recognis bodi imag taken major blow hour day would stick fit regim perhap eat healthili invest mean mean kind forgiv bodi make best use strength abil recognis import ann find person stori like ann plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
319,,known peopl breast cancer chemotherapi know fatigu side effect thought drama queen find person stori like betti plus tip adjust life treatment becca free app https bccare org uk becca,1,,,,
320,,spoke peopl richard diagnosi respons would get male breast cancer thing lorrain shock find partner richard develop secondari breast cancer age blog share start campaign bluegetittoo rais awar male breast cancer http bit ly lq k,1,,,,
321,,grief emot suffer feel someth bond taken away earth griev breast griev loss bodi part aspect intim anatomi funer servic eulog public acknowledg period mourn closur go sleep hospit trolley breast wake absent women opt remain flat surgeri medic necess deliber choic embrac flatter post mastectomi bodi surgic scar symbol hard time endur difficulti overcom women use tattoo cover mastectomi scar way reclaim bodi breast cancer griev element ident that tie physic bodi even though im someon place sens valu physic appear still deal fact post op differ less differ place use transform thousand women face similar surgeri less physic surgeri unalter true alway affect grief differ everyon suspect death love grief lost physic emot never go away complet griev lose cancer hard hard articul hard convey other hard understand mayb help brain learn new part heal process karen find person stori like karen plus tip move forward breast cancer free becca app https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign servic utm content becca,1,,,,
322,,dad diagnos breast cancer age sent scan biopsi week lumpectomi dad first got news concern surgeri mum dad seem relax situat assur doctor remov cancer overal dad feel much stigma around man breast cancer feel littl self conscious go swim got idea fundrais decemb decid run marathon month even run doubl marathon took hour minut someth doubt repeat want ensur peopl awar happen check often earli sign symptom need afraid go doctor graem,1,,,,
323,,sister die secondari breast cancer age anoth die ovarian cancer year diagnos surviv sister us previous cancer natasha sister cancer test posit alter brca gene receiv breast cancer diagnosi reflect cancer affect life https breastcancernow org us news person stori cancer e invad bodi invad whole lifeutm sourc facebooko utm medium social utm campaign servic utm content natashablog,1,,,,
324,,first found lump thought want chemo next oncologist meet went attitud discuss option partner decid increas chanc cancer come back someth worth agre coupl week later covid blew chemo sudden tabl instead next step radiotherapi origin plan first diagnos question chemo radio would happen lot sooner sinc oper point worri wast time treatment radiotherapi happen quick end april shorten day cours instead day standard previous whole experi made realis actual quit stabl person whatev happen get thing,1,,,,
325,,first felt lump breast around month got check thought caus hormon chang go away decid realli need get check made appoint gp refer mammogram biopsi straight away got sens someth quit right got idea wait work citi felt like time perhap scare find lump well cancer live denial biopsi confirm oestrogen receptor posit breast cancer full bodi scan start consid treatment reveal cancer spread liver told incur secondari breast cancer dad cancer pass away year ago knew bit diagnosi although knew breast cancer associ older women year old diagnosi none immedi circl friend breast cancer first friendship group hope last louisa louisa diagnos secondari breast cancer april year father die cancer share import know sign breast cancer yoga nidra breath exercis help cope diagnosi,1,,,,
326,,treatment finish petrifi id becom use hospit go month know next appoint lauren struggl anxieti treatment finish share shes campaign better mental health support,1,,,,
327,,biggest challeng deal fear cancer return usual fear start thought pop head got pain somewher new helen cancer came back treatment talk fear return give tip manag concern,1,,,,
328,,spoke peopl richard diagnosi respons would get male breast cancer thing richard develop lump right nippl sever visit various gps told noth worri unfortun wrong novemb richard diagnos secondari breast cancer use breast cancer campaign focus women often pink slogan symbol repres feminin breast cancer pink blue get lorrain explain start rais awar partner diagnos male breast cancer,1,,,,
329,,first told shock year old began recal memori mum diagnosi could stop cri heard word chemotherapi rememb time look mum treatment littl girl emot appoint famili find person stori like sonia plus tip move forward breast cancer free becca app http bit ly ou tbd https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign becca utm content beccasundaypostfb,1,,,,
330,,believ fear play main role throughout entir cancer treatment fear life love one go fear if find luci stori plus hint tip manag difficult emot finish hospit treatment free becca app http bit ly ou tbd https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign becca utm content beccasundaypostfb,1,,,,
331,,id finish activ treatment adrenalin kept go seep away felt flat id spent month centr attent sudden expect return normal almost noth happen find patricia stori plus hint tip find new normal treatment free becca app http bit ly ou tbd,1,,,,
332,,diagnos fit strong felt like amazon without normal energi level cook like use went conveni option treatment steroid caus put weight start overeat eat access comfort put around stone diagnosi peopl told appreci aliv worri weight gain dont think realis gain weight treatment get know make best rebekah find person stori like rebekah plus tip move forward breast cancer free becca app http bit ly ou tbd https breastcancernow org inform support support beccautm sourc facebooko utm medium social utm campaign becca utm content beccasundaypostfb,1,,,,
333,,reach point realis mental affect mastectomi use wear love underwear look choic bras avail post op devast resembl someth grandmoth would wear read dawn stori find beauti mastectomi bras becca free app hint tip women move forward breast cancer https www breastcancercar org uk becca,1,,,,
334,,seem ridicul thing worri extra weight massiv effect mental health self esteem emma struggl gain weight treatment find stori plus tip look physic mental wellb treatment free becca app http bit ly ou tbd,1,,,,
335,,cancer oestrogen recept give medic tri prevent recurr ive essenti put chemic induc menopaus year old come side effect hot flush mood chang weight gain read rebecca stori find tip deal menopaus symptom becca free app hint tip women move forward breast cancer https www breastcancercar org uk becca,1,,,,
