Message,Narrative,Non-narrative
"I found out I had breast cancer after falling over in my daughter’s flat. It was quite funny at the time. I remember saying, ‘I think I’ve popped my boob’. A few days later I was checking to see if I had a bruise and found quite a large lump. 'I initially reacted to my diagnosis with disbelief. 'Then, I had the incredibly hard task of telling everyone, because only my husband, best friend and a couple of colleagues knew about the lump. I had to take a year off work – my oncologist wouldn't let me carry on due to a risk of infection. 'There were obviously tears, a bit of anger, and jealousy that others were carrying on with their 'normal' lives. But on the whole, life became about treatments, trips to the hospital, and just getting through each day. 'With all that going on, then, is it possible to ‘win’ at breast cancer? 'The question came to me while wig shopping. Maybe it was a weird thought to have; but how do you win at cancer?!' - Melanie",1,0
"Society often associates femininity with long, flowing locks – but a growing number of women are choosing to celebrate their baldness.’ Read about women choosing to celebrate their baldness, like Alice (pictured) who lost her hair due to alopecia, and Juliet, whose hair fell out as a side effect of chemotherapy following her breast cancer diagnosis in 2016. Juliet said, ‘Going bald felt empowering… For me, wearing a wig didn’t feel right. It felt like a pretence, like I was covering something up.’",1,0
"‘On my way home from work, I noticed my right breast was rubbing on the seatbelt. It felt swollen. I’d had a mammogram earlier in the year that was clear, so I was surprised when I noticed something wasn’t right. I went to my doctor straight away and was referred on to the breast clinic. In June 2018, I was diagnosed with breast cancer and told I’d need a mastectomy, chemotherapy and radiotherapy. Everything was moving so fast. 'After I was diagnosed, I couldn’t speak for a whole day without ending up in tears. When I spoke with friends, family and colleagues, it was devastating to have to say the words ‘I have breast cancer’. 'When I was one month into chemotherapy, I noticed little lumps on the skin of my right breast. It turned out to be a local recurrence. Because I noticed and told my doctors so quickly, they could give me the right treatment as soon as possible. I needed radiotherapy, a different chemotherapy, and had the piece of skin removed. 'Because I had a local recurrence during my treatment, my biggest challenge is dealing with the fear of the cancer returning again. Usually, the fear starts with a thought that pops into my head if I’ve got a pain somewhere new.’ – Helen Over time, Helen found helpful tips for managing her worries for recurrence including accepting that some days will be better than others and trying the ‘one-week’ rule. Find this plus tips for moving forward after breast cancer, in our free Becca app: https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=services&utm_content=111020becca",1,0
"'When you’re diagnosed with secondary breast cancer, the clock is ticking. I’m literally buying time with every single dose of this drug. That’s time of me living, being able to be a wife, be a mother, be a daughter, be a sister, be a friend – be me.' – Claire Being able to access the most effective drugs is one of the biggest priorities for people living with secondary breast cancer. Help us ensure everyone with secondary breast cancer has fast access to effective treatments. Sign our petition now http://bit.ly/2PSD6uf",1,0
"The partnership of Breast Cancer Now and M&S is so very vital. M&S is one of the oldest retailers in the UK. Their reach is far and their platform huge. £13million is an astounding amount of money which has funded research and care, and been literally lifesaving. Long may this union continue and may October bring more and more funds for research and care.' - Helen, 2017 M&S, Breast Cancer Now campaign model. Helen took part in our 2017 campaign for M&S which raised nearly £300,000 for Breast Cancer Now. In just five years, through a combination of activity including campaigns, colleague and customer fundraising, in-store donations, post-surgery bras, swimwear and other fantastic product lines, Marks & Spencer have raised an incredible £13million for Breast Cancer Now, funding over 330,000 hours of pioneering breast cancer research – and it’s all thanks to you! You can continue to support by choosing Breast Cancer Now as your chosen charity Sparks charity and M&S will donate every time you shop: https://www.marksandspencer.com/mysparks",1,0
"'Although I didn’t need chemotherapy, these past few months have taken their toll physically and mentally, and there have been days I didn’t even have the energy to eat.' Find personal stories like Caroline's, plus hints and tips for adjusting to life after treatment, in our free BECCA app: https://bccare.org.uk/becca",1,0
"'I was diagnosed in November 2019 at 31 years old. I remember the surgeon and Breast Cancer Now confirming it was cancer. I cried and kept saying my husband is away and I have a 3-year-old - will I see her go to school? I love her so much and don’t want to leave her. 'I phoned my husband and the devastation, crying and realisation between us at that point changed our lives forever. 'My mum was looking after my daughter and I rang to tell her to carry on as normal as I needed time to process and not let my daughter know. How I drove home is beyond me. My parents live an hour away so my dad (who was at his home) went to tell my two beautiful sisters and drove down to be with me and my mum. Seeing their faces and realising the heartbreak I had caused has still left me with guilt now. 'Two days after diagnosis they saw us again to confirm it was grade 3 stage 2 HER2+ with lymph node involvement. Hearing it again was just an extra kick in the stomach. I wasn’t prepared for this at all. 'I started chemo on 20 December. We had tried to freeze my eggs and two days before the harvesting they decided I needed chemo more. We were heartbroken. I also had the genetic test which I was so worried about having a daughter, two sisters, and a niece. I didn’t want this for them. I was relieved when it came back negative but a little part of me thought why me? 'I had three weeks of radiotherapy and now continue with a range of medication daily, monthly Zoladex injections, and three weekly Herceptin. My journey is far from over and for me the day-to-day now active treatment is over is the hardest. I am back to work as a teacher and the sense of purpose and ability to forget is wonderful. However, my confidence with weight gain from the medication, the mastectomy, infertility, and loss of hair are a battle I am trying to fight daily as well mentally. I am so privileged to have a wonderful family around me and I’m trying to not live in fear of recurrence and live for the moment. ' Gemma was diagnosed with breast cancer and will be sharing a speech at our virtual Carols By Candlelight. Join us virtually at the magical setting of St Paul’s Church, Knightsbridge for our annual Carols service on Wednesday 9 December 2020. With inspiring readings and uplifting carols, this will be an evening to remember. By joining us, you’ll be helping us reach our aim that by 2050 everyone who develops breast cancer will live, and be supported to live well. https://breastcancernow.org/get-involved/social-events/carols-candlelight-london?utm_source=facebooko&utm_medium=social&utm_campaign=carolsbycandlelight2020&utm_content=211120gemma",1,0
"Janet shot these beautiful photos to truthfully document her breast cancer experience. 'I was diagnosed with breast cancer last January which you can imagine was a huge shock. I felt well and never thought it would be me. I started treatment straight away, but after my first chemotherapy session, I developed a problem with the wound from my lymph node surgery, meaning I couldn’t then continue my course of chemo treatment. Unfortunately, one treatment was enough to kickstart all of those side effects of chemo — I lost much of my hair over the course of several weeks. I had used the cold cap and had hoped this wouldn’t be the case, but all it did was draw out the process so every time I washed or brushed my hair it came out. 'For the next six months, I continued with targeted therapy drugs and had surgery, and during this time my hair started to grow back. At the beginning of September, I restarted chemo to have the remaining five sessions. I didn’t bother with the cold cap as it hadn’t worked for me before, so I lost my hair again quite quickly. 'I hate how I look without hair. I just don't feel like myself, particularly as my eyebrows have gone too. I have a wig but mostly wear hats and scarves, and never go out with my head uncovered. 'I had my final chemotherapy six weeks ago, and my hair has started to regrow slowly. I wanted to document this chapter of my life, but I didn’t want ""proper"" photos taken, in good light and all of me in. I don’t like to see myself in that way and wouldn’t want to share that with everyone. My passion is photography, so I decided to try to do this myself in my newly built studio. I had an idea for images that just hinted at how I looked, so I researched how I would light them. Technically it was a difficult exercise, setting up the focus, and lighting, but I was pleased with the results. I’ve had such positive comments from people about these pictures it has really boosted my confidence in how I look, although I’m still not ready to go out with a naked head just yet!' You can see more of Janet's photography on her Facebook account: https://www.facebook.com/janetmilesimages/ Many people will lose either some or all of their hair as a result of treatment for breast cancer. Find out more about breast cancer and hair loss on our website. http://bit.ly/36Rx9Fw",1,0
"In July 2019, I was referred for a mammogram. Then I was told I needed an ultrasound. Three hours after I initially arrived at the hospital, I was told I had breast cancer. 'The following day, the consultant rang to say they would like to do a routine bone scan. Fast forward a few weeks and it was confirmed the cancer had spread to my ribs. I had secondary breast cancer. 'Physically, I felt well. Early menopause was emotional, but it had to happen for the treatment to work. When I was first diagnosed, one of my head and neck consultants said, ‘When your treatment settles down you will almost forget about it and get on with your life as normal.’ That’s pretty much where I’m at now.' - Victoria",1,0
"'You can put a mask on with makeup. You paint your eyebrows in and put your wig on, and everyone says, ""You look amazing!"" I used to think, ""If you saw me three hours ago, you wouldn't be saying that!"" 'You look healthy when you start treatment. By the end of it, you look like you've gone through the mill. It's hard to get used to looking in the mirror and seeing your body changing week by week. 'When you hear the word 'cancer', everything feels so scary. 'One of my friends has recently been diagnosed, and one of the pieces of advice I've given her is not to be afraid. 'Treatment is difficult, but there are so many support options out there to help you through. Being honest with yourself about how you're feeling, and with those around you, will make it easier. 'Breast cancer feels like it's put a pause on your life. But your life won't be on hold forever. There's so much more waiting for you beyond treatment.' - Toria Find personal stories like Toria's, plus tips for moving forward after breast cancer, in our free Becca app: https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=services&utm_content=271220becca",1,0
"'Although I didn’t need chemotherapy, these past few months have really taken their toll both physically and mentally, and there have been days where I didn’t even have the energy to eat.' Caroline struggled with severe fatigue after treatment. Find her story, plus tips for looking after your physical and wellbeing after treatment, in our free Becca app: http://bit.ly/2Ou3tbd",1,0
"I had a lumpectomy to remove my tumour and surrounding tissue and sentinel lymph node removal in April 2019. The following week, I went back for my follow up appointment to be told I needed further surgery. Thankfully, I didn't need chemo - but I did need radiotherapy, and I will have to be on tamoxifen for 10 years. 'I found it difficult to sit still and rest when I had my operations as I’m usually such an active person. Then, a few weeks after my treatment, the fatigue hit me. It was the strangest thing I’ve ever experienced. Some days I was fine, then the next it was like being hit with a ton of bricks. 'At first, it was difficult to adapt my mindset, as I have always been the person who just did everything myself instead of asking for help. As a mum, you think it is sometimes easier to just do it yourself. I now realise it is important to allow people to help you, it is not a weakness to ask for help. It is hard for family and friends during treatment to know how to help, so let them do what they can. 'My children were fab throughout as we were very honest with them. They were so caring, helping around the house. My daughter took on the role of my nurse (which was so cute) bringing me my medicine and pain relief when needed. 'I have always been a very resilient person. Since my diagnosis, I have found things challenging at times - but I remind myself that what I've been through is huge, so I shouldn’t be too tough on myself. 'This change of attitude has also made me reassess what I want from life. Before my diagnosis, I was preparing myself to further my career but, on reflection, my priorities have now changed. I have decided to put this on hold for the moment so that I can focus on my family and my full recovery.' - Aisling",1,0
"‘Our fears were confirmed. The tumours had spread to my lymph nodes. The New Year was going to mark the start of my breast cancer treatment. ‘Simon and I drove home stunned. In a way, we were expecting it, but it couldn’t be real, could it? ‘We knew we had to tell the children. Simon had to medically retire when his kidney transplant was failing. He’d been on two modes of dialysis, and our lives and what Simon was able to do had changed drastically. ‘We had always been honest with the children about Simon’s health. We looked for books to help us explain the changes in our lives but had been unsuccessful. We used our own knowledge and experience to answer the difficult questions. Why does Daddy’s arm buzz? Why does Daddy have a tube coming out of his tummy? Why can’t Daddy carry me anymore? ‘This time around, the breast care nurse had given us a book for each of the children, Mummy's Lump, published by Breast Cancer Care. It help them understand what breast cancer was, and what was ahead. ‘It’s only fair to explain things to children. It’s the way they learn and come to terms with the situations they face. We knew from our experience with Simon’s illness that they would be less fearful about the procedures if they knew what was happening. ‘When we got home, we sat them down and told them about my diagnosis. We explained what cancer was, that they couldn’t catch it, and that none of us caused it. We also told them that the doctors had said they could treat me with medicine, surgery and X-rays. ‘We gave them big hugs and answered their questions.’ - Anita Anita shares her experience and five tips for telling children about breast cancer with us. Find her story, plus tips for moving forward after breast cancer, in our free Becca app: https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=services&utm_content=270920becca",1,0
"Cancer is an unexpected lodger who turns up and causes chaos. You finally get rid of them, then realise they’ve kept the key.' Jenny was diagnosed at 34 and discusses why some of the language used to describe breast cancer makes her feel uncomfortable.",1,0
"There were obviously tears, a bit of anger, and jealousy that others were carrying on with their ""normal"" lives. But on the whole, life became about treatments, trips to the hospital, and just getting through each day... I am winning today.' — Melanie After her breast cancer diagnosis, Melanie started wondering if it's ever possible to 'win' at breast cancer.",1,0
"I found a lump in my right breast in November 2019. After a mammogram and several ultrasounds, I was told I had a cyst. It was drained and I was sent on my way. Unfortunately, the doctor didn’t spot the tumour growing behind it. 'By May 2020, it had doubled in size, but I had been unable to go back for treatment until then due to the COVID-19 pandemic. On May 14, it was biopsied, and I wasn’t given a diagnosis until the 26th. That wait was so hard. 'I was told I had grade three invasive ductal carcinoma, which had grown from 1.7cm in November to 4cm. 'My family and I were utterly devastated upon hearing the news. Our life went from technicolour to black and white in less than an hour.' Heidi was diagnosed with breast cancer in May 2020, and has recently finished chemotherapy. She shares the difficult emotions and side effects that came with her treatment.",1,0
"When treatment finished, I expected to feel like a new person, but I struggled with ongoing physical side effects. I had cording after surgery and was unable to do Pilates due to muscle tightening in my chest, which was upsetting. I went from being very fit to unfit. 'I felt frustrated at the time it was taking to get better physically. My physiotherapist suggested joining a dragon boat racing team called ‘Wave Walkers,’ with people who’ve also had an experience of cancer. I enjoyed learning and participating in something new after stopping most of my usual activities. 'Being part of a team where you don’t have to be embarrassed about cancer is so important. People at Wave Walkers socialise and support each other. The members come from a range of backgrounds and parts of London. But we’re all there to paddle, have fun and get fit. 'Recovery after breast cancer isn’t immediate. But slowly, you will get there. While it’s not for everyone, trying new things like dragon boat racing really helped me after treatment.' Find personal stories like Jackie's, plus tips for moving forward after breast cancer, in our free Becca app: https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=becca&utm_content=160820becca",1,0
"'I’m Denise, and my breast cancer experience started back in 2017, when a simple letter telling me I needed to return to hospital to discuss the results of a routine breast screening appointment, changed my life forever.  'I've been surprised to find that living post-treatment is the hardest part for me. The anxieties of my breast cancer coming back are never far from my mind.  'Since then, I’ve been given hope, through the vital research that Breast Cancer Now funds, and life-changing support from Breast Cancer Care.'  Over 55,000 women are diagnosed with breast cancer every year in the UK. Help us to support more people like Denise: https://bccare.org.uk/2lYrPNV",1,0
"'Although I didn’t need chemotherapy, these past few months have taken their toll physically and mentally, and there have been days I didn’t even have the energy to eat.' Find Caroline's blog on managing fatigue, plus other hints and tips for life after treatment, in our free app BECCA: https://bccare.org.uk/becca",1,0
"I was a high-risk patient from day one because of my low immune system due to my treatment. I have had breast cancer three times, and over the years have had two mastectomies, two reconstructions, a lumpectomy, chemotherapy and radiotherapy. My most recent diagnosis was in 2018. 'When I think back on all the times I have been diagnosed with breast cancer and now getting through this virus, I feel very fortunate. I was first diagnosed with breast cancer in 2001 and it’s now 2020 and I’m still fighting through it all.' Ruth who has been diagnosed with primary breast cancer three times, had just completed her hospital treatment when she was diagnosed with COVID-19.",1,0
"'I never expected to hear that I had breast cancer at 33. Initially, I was told the lump in my breast was probably nothing to worry about. 'When the consultant said that the biopsy showed cancer, I didn’t hear anything else she said. I felt numb. Then came the anger, the upset, the frustration. 'What about my boys?' I imagined the absolute worst. 'I’m fortunate to have an amazing support network of family and friends, as well as the support from my breast care team. If I have a wobble or a difficult day there are people I can talk to who I know will listen and support me, outside of those closest to me.' Find personal stories like Leanne's, plus tips for moving forward after breast cancer, in our free Becca app: https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=services&utm_content=130920becca",1,0
"'It only takes five minutes of your life every month to check your breasts and may save you having to endure what I have been through.' https://bit.ly/3exDmJu:=:https://breastcancernow.org/about-us/news-personal-stories/my-breast-cancer-incurable-it-won%E2%80%99t-stop-me-living-my-life?utm_source=facebooko&utm_medium=social&utm_campaign=corporate&utm_content=180720ghdlaura Laura was first diagnosed with breast cancer when she was 25 after finding a lump in her breast while she was travelling. Two years after finishing treatment for primary breast cancer, Laura was told the cancer was back but this time it had spread to her bones. She's sharing her story, together with other young women with breast cancer around the world, to remind people to check for signs of breast cancer as part of ghd's Take Control Now campaign.",1,0
"‘I have learnt that having cancer can change you as a person. Physically, I am tired a lot of the time and I have plenty of menopausal symptoms. Emotionally, I am no longer a level-headed person but one whose moods swing up and down like a yo-yo.’ Find personal stories like Sara’s, plus tips for moving forward after breast cancer, in our free Becca app: http://bit.ly/2Ou3tbd:=:https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=becca&utm_content=beccasundaypostfb",1,0
"'My biggest challenge is dealing with the fear of the cancer returning again. Usually, the fear starts with a thought that pops into my head if I’ve got a pain somewhere new.' Find Helen's blog on managing the fear of recurrence, plus other hints for moving forward after treatment, in our BECCA app: https://bccare.org.uk/becca",1,0
"The breast cancer work has completely changed my life path and gave me a real purpose.' We would like to say a big congratulations to Kerry Banks who has been awarded the British Empire Medal (BEM) in the Queen’s New Year’s Honours list for her services to breast cancer. Since 2006, Kerry has raised £214,500 in memory of her friend Julie, working tirelessly to raise awareness of breast cancer and hosting events such as balls, sponsored walks and taking on challenges such as Dalai Lama Himalayan Trek in 2020. She is an incredible ambassador for Breast Cancer Now - thank you Kerry!",1,0
"'I woke up on 1 January 2012 and decided that this was going to be my year. I thought about the resolutions I had made and was determined, as I am sure everyone is, to keep them. 'Then, I remembered that after the celebrations the night before I had taken a shower and discovered a lump in my right breast. I felt my breast and found the lump was still there. 'So began a different journey to the one I had envisaged. A very lonely journey. One that would leave me exhausted, unwell and facing a future that I had not expected. 'As anyone diagnosed with cancer knows, things happen very quickly and the whole process is hard to keep up with and assimilate. 'Within weeks, instead of looking for a new job – which had been one of my resolutions – I was saying a tearful goodbye to colleagues to go into treatment. 'My family were loving, supportive, sympathetic and anxious. 'I, on the other hand, was spaced out with no spare energy to be anxious. I was only just beginning to understand the meaning of being on a journey that no one truly understood, least of all me. 'Following my mastectomy and before starting chemotherapy, I joined a group on the Breast Cancer Care Forum. All the people, women and men, were due to start chemotherapy in March, hence we became the ‘Marvellous Marchies’. 'I showed my sister the video and said I may write a blog about ‘My lonely journey’. She said, ‘Don’t, think about your kids.’ 'I could see her thinking – ‘You weren’t alone. You had a husband, children, a mother, friends, me... How could you be lonely?’ 'Don’t get me wrong, I had a lot of support. But it was with my new, virtual friends on the Forum that I shared my fears and anxieties about my family’s anxieties. We laughed about things my family didn’t feel it was appropriate to laugh about. We talked about the possibility of not pulling through, and connected in the middle of the night when our loved ones were asleep and we lay wide awake.' - Georgie Find personal stories like Georgie's, plus tips for moving forward after breast cancer, in our free Becca app: https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=services&utm_content=011120becca",1,0
"'You've probably had someone say, “Your treatment's finished, so you're all better now.” But cancer is not a bad cold. Treatment can cause side effects that last many years.' Read Alex's blog on managing fatigue, plus other tips on moving forward after treatment, in our free app BECCA: https://bccare.org.uk/becca",1,0
"'Now I no longer see one lop-sided breast. My eyes go to my tattoo and that’s all I see, lovely flowers. It makes me feel so good.' Read Liz's personal story, and other inspiring hints and tips for life after breast cancer, in our free BECCA app: https://bccare.org.uk/becca",1,0
"Our nurse Addie is talking live with Kayla, who was first diagnosed with breast cancer at 20 and again at 31, about the importance of being breast aware. What would you like to ask them?",1,0
"'My diagnosis has had a much bigger emotional impact than I expected. I thought that once I finished treatment, that would be it, done and dusted. But the intensity of cancer treatment has a much deeper impact than you realise, and stays with you for quite some time. 'People talk about not being defined by their cancer, but I feel that I have been, in a way. It’s part of who I am now and influences how I feel about life.' Find personal stories like Isla's, plus tips for moving forward after breast cancer, in our free Becca app: http://bit.ly/2Ou3tbd:=:https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=becca&utm_content=beccasundaypostfb",1,0
"‘My mum died, aged 51 of breast cancer and somehow, I always knew in the back of my mind that I would face breast cancer at some stage in my life. ‘In July 2007 I had a very small lump and insisted that my GP referred me to my consultant - both didn't think it would be anything to worry about. ‘Fast forward to a lumpectomy where it was discovered that I had a Grade 2 infiltrating ductal carcinoma and then had another surgery the following week for a martial mastectomy and wider excision to remove the lymph nodes, followed by 20 sessions of radiotherapy. ‘In 2008 I was watching ""Lorraine"" and saw a feature on The Show and Breast Cancer Care and my affiliation began. The services available were invaluable. I applied to be a model and joined the catwalk in 2010. ‘I joined The Show Committee in 2011 as I wanted to do more! I wanted to spread the word about the charity and use my passion and experience in a positive way. ‘I am sad The Show is not happening this year, but want to spread my positivity and support through REUNIGHT to keep raising as much money as possible.’ Tracey was diagnosed with breast cancer 13 years ago. She is a Committee Member for The Show and has joined forces with the Pink Ribbon Ball Committee for Breast Cancer Now’s first virtual event, REUNIGHT. Join us on November 4 and you’ll have the chance to win prizes, see special performances, hear uplifting stories and raise money for the vital work we do. www.breastcancernow.org/reunight?utm_source=facebooko&utm_medium=social&utm_campaign=reunight&utm_content=241020tracey:=:https://breastcancernow.org/get-involved/social-events?utm_source=facebooko&utm_medium=social&utm_campaign=reunight&utm_content=241020tracey",1,0
"'I wanted to turn a bad situation into a good situation by raising money for Tickled Pink.' Hilary shaved her head for an upcoming operation and raised over £487 for Asda's Tickled Pink campaign. This New Year, fundraise your way and help raise vital funds for Breast Cancer Now. http://bit.ly/35EP6WX:=:https://breastcancernow.org/search/google/get%20involved%20do%20your%20own%20fundraising",1,0
"'The way I dealt with my diagnosis was through positivity. It happened, and I wanted to know what we needed to do next. For others, it might be better to close the door and lie in bed for two days while you process the news. Everyone's reaction is different. 'Don’t let anyone tell you how to deal with your diagnosis. You know what’s best for you.' Find personal stories like Samantha's, plus tips for moving forward after breast cancer, in our free Becca app: http://bit.ly/2Ou3tbd:=:https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=becca&utm_content=beccasundaypostfb",1,0
"Happy diagnosis day. Exactly one year ago, you were told the words you never thought you would hear: ""you have cancer"". 'You still have a way to go with your recovery, but you did it. It was tough - oh so tough - the worst year of your life. But it’s done, and you can move on knowing that you have learnt so much. 'You are a superwoman.' Laura wrote a letter to herself exactly a year after her breast cancer diagnosis. Read the full letter here.",1,0
"I was so petrified at one stage of catching COVID-19 that I wasn’t sure whether I should continue with the treatment. My thought was that I would rather take the risk of the cancer coming back than leave my children without a mother. It was the most awful time.' Last year, Francesca was diagnosed with breast cancer. She had lost her husband five years before and struggled with handling treatment during the pandemic. She shares how her family helped her cope.",1,0
"When faced with choice about reconstruction, the consultants give you the facts, then pass you over to the breast care nurses who fill in the details and give you the time to process all the information you have just been given. 'I struggled with deciding what was best. I had a serious illness the year before, and with everything else that had recently happened in my life, I questioned my decision-making abilities. I feared making a mistake. 'I was worried about the time off work required, about caring for my son with the recovery time. Was I being selfish? I could have an implant and be back to ‘normal’ quicker. I struggled with the scarring that could occur. The only part of my body I liked were my breasts and my torso. 'I questioned my vanity, endlessly.' - Sara-Jane",1,0
"'You expect the worst with chemotherapy. It was tough. The treatment robbed me of all the things that made me feel like a woman. My periods stopped, my hair fell out – even my eyelashes and eyebrows went. 'As I was at high risk of recurrence it was recommended that I have a bilateral mastectomy which was followed by a reconstruction. It was very difficult losing all these things at the same time. 'I thought, 'How am I going to be a woman again? Who's going to want me?'' Find personal stories like Leanne's, plus tips for moving forward after breast cancer, in our free Becca app: http://bit.ly/2Ou3tbd:=:https://breastcancernow.org/information-support/support-you/becca?utm_source=facebooko&utm_medium=social&utm_campaign=becca&utm_content=beccasundaypostfb",1,0
"'Since January, I've been taking tamoxifen. My biggest issues are with hot flushes, sweating, muscle cramps and insomnia.' Read Helen's tips for managing menopausal symptoms in the heat, plus other hints on adjusting to life after breast cancer, in our free app: https://bccare.org.uk/becca",1,0
"'Now my hair has started to grow back, even people I know well don’t recognise me straight away. It’s a difficult moment when this happens as it’s a reminder I’m not who I was.' Find Patricia's story, plus hints and tips for finding your 'new normal' after treatment, in our free BECCA app: https://bccare.org.uk/becca",1,0
"My mum was diagnosed with triple negative breast cancer in late 2014, after her doctor found a small lump during a yearly routine check-up. 'Her initial breast cancer returned three times, firstly in the breast, then in her lungs, and then in her brain. 'It had a massive impact on my family. My siblings were very young at the time, so they didn’t fully understand what was happening. It felt quite isolating and lonely that I couldn’t talk to them about it. 'My mum found out that she had the altered BRCA gene, which put her at high risk of breast cancer. I was incredibly confused, as I had never heard of it before. 'I had only been exposed to the cancer world a few months earlier. I had no idea that cancers could be hereditary. My mum had heard of BRCA but couldn’t understand why it hadn’t affected her parents. We later realised my Grandpa was the carrier. 'With the encouragement of my mum, I applied to have genetic testing in November 2016. I took the test a few days after my 18th birthday, 24 February 2017. 'I received my results in mid-April. They came back positive. I was strangely relieved. I felt grateful that I had found out at such a young age. It meant that I had time to discuss and think about my options.' - Jess",1,0
"My partner, Iain, and I were then taken into a room. A consultant told me, ""I’m sorry, you have breast cancer."" Our world fell apart. It didn’t seem real, I felt like they were talking about somebody else. I felt completely numb. I was scared for my boys and my future. 'I was diagnosed with invasive ductal carcinoma, stage 2 breast cancer, as it had also spread to my lymph nodes. I was absolutely terrified. 'My initial thoughts were for my two young sons. How was I going to tell them the news? My youngest was only seven years old. Surprisingly, they both coped so incredibly well and only on the days when I was quite ill did I see them tearful and worried.'",1,0
"Isla: 'I was diagnosed with breast cancer in Tokyo while I was away with my husband and children. I already had a suspicion that something was wrong. 'The doctor recommended I have a biopsy too... After my biopsy results, we flew back home to Edinburgh, cutting our trip short by about six weeks. 'My diagnosis has had a much bigger emotional impact than I expected. I thought that once I finished treatment, that would be it, done and dusted. But the intensity of cancer treatment has a much deeper impact than you realise, and stays with you for quite some time.'",1,0
"I began to wonder who I am now. Cancer has been who I am for the last 10 months. I can’t just go back to how it was before, but I’m not sure if I know what happens next.'",1,0
I woke up one Saturday morning. My hair was about a quarter of an inch long. I came downstairs and said to Ross: “I’m not wearing my wig anymore”.’,1,0
"One year on from her diagnosis, Fran shares some of the things that helped her get through breast cancer treatment: '1. Managing hair loss. I took a look at myself in the mirror one morning and thought, 'I look awful'. I smiled back, and suddenly looked so much nicer. Hiding beneath the pale, red-eyed, bald image I saw 'me' again, and instantly felt a little better. From then on I smiled lots. '2. Finding lost energy. I had read that walking would be good for increasing my energy levels and for boosting my immunity so I started walking every day. Some days I did not feel at all like going out, but I would make myself take at least a few steps. '3. Dealing with sad thoughts. At the end of every day, before my attempts to sleep, I went through everything I had achieved. I wrote a diary and listed how far I had walked, recorded my steps and wrote about how I felt. This way I could go to sleep in a positive frame of mind and sometimes even feeling a little bit proud.' Find personal stories like Fran's, plus more tips for moving forward after breast cancer, in our free Becca app: http://bit.ly/2Ou3tbd",1,0
"Once treatment finished, I thought I'd feel elated. But I felt quite deflated in a way. Cancer had been my life, then all of a sudden there’s no treatment that’s about to happen. It’s such a strange feeling.' Find Lauren's blog, plus other tips for taking care of your emotional wellbeing after treatment ends, in our BECCA app. Just search 'BECCA app' in your app store.",1,0
"Having an implant is a big decision. In fact, making the decision to have breast reconstruction is not an easy one and not for everyone. 'And no, it’s not a free boob job! That is a cosmetic procedure, this is an attempt to regain some sort of normalcy after a traumatic, life-changing event: breast cancer.' - Fiona",1,0
"‘I found a lump in my left breast. I saw my GP and within three days I was at the hospital. It was that quick. I had a mammogram, ultrasound and a biopsy and within a week I sadly got the diagnosis that I had triple-negative breast cancer. 'When we went into lockdown I was vulnerable so I was told to isolate and shield. Thankfully my husband was able to isolate with me. He's been fantastic. I was so grateful because he was basically my carer. The whole family was in isolation together from about March. 'Apart from my hospital appointments I never went out. We got our shopping deliveries from Asda, and I had friends from home shopping bringing me little food parcels. 'I'd like to say a massive thank you to everyone at Asda. The support has been phenomenal for both myself and my husband. It makes you realise who is out there for you in such hard times.' Forty-seven-year-old Asda colleague Helen, who's been married to fellow Asda colleague and childhood sweetheart Rob for 23 years was diagnosed with breast cancer last year. Why not treat your loved one this Valentine’s Day ❤️ By picking up a bunch of Asda Tickled Pink Flowers at your local @Asda, not only will you be giving a beautiful gift to a loved one but you will also be supporting us and CoppaFeel! to raise vital funds for world-class research, support for those affected by breast cancer and to educate our community of colleagues, customers, and suppliers to be breast aware. Link: https://www.asda.com/creating-change-for-better/better-communities/tickled-pink",1,0
